Date,Media_Source,Campaign,Impressions,Clicks,"Click Through 
Rate",Installs,"Click to Install
Conversion Rate",Depositor,Depositor/Installs,Cost,eCPI
10/5/20,Source_1,Campaign_9,16958,1945,0.1147,118,0.0607,1,0.0085,847.61,7.1831
10/5/20,Cross Promotion,Organic,,,,43,,0,0,,
10/5/20,Website Download,Organic,,2,,0,0,0,,,
10/5/20,Cross Promotion,Organic,,,,42,,5,0.125,,
10/5/20,Organic,Organic,,,,202,,11,0.0545,,
10/5/20,Cross Promotion,Organic,,,,42,,14,0.3333,,
10/5/20,App Referral,Organic,,,,11,,1,0.0909,,
10/6/20,Source_2,Campaign_1,331,35,0.1057,100,0.3429,0,0,1470.58,14.7033
10/6/20,Source_4,Campaign_10,38992,1092,0.028,228,0.2088,11,0.0482,1428.33,6.2646
10/6/20,Source_2,Campaign_2,6391,306,0.0479,100,0.3268,3,0.03,921.77,9.2177
10/6/20,Source_3,Campaign_5,47643,321,0.0067,124,0.3863,18,0.1452,1484.6,11.9726
10/6/20,Source_3,Campaign_7,39876,314,0.0079,118,0.3758,21,0.178,2480.19,21.0186
10/6/20,Source_1,Campaign_8,85534,7916,0.0925,265,0.0335,7,0.0264,1221.29,4.6086
10/6/20,Source_1,Campaign_9,444,43,0.0968,17,0.3953,1,0.0588,448.56,26.3859
10/6/20,App Referral,Organic,,,,4,,1,0.25,,
10/6/20,Website Download,Organic,,7,,0,0,0,,,
10/6/20,Cross Promotion,Organic,,,,46,,6,0.125,,
10/6/20,Organic,Organic,,,,166,,5,0.0301,,
10/6/20,Cross Promotion,Organic,,,,48,,24,0.5,,
10/7/20,Source_2,Campaign_1,734,52,0.0708,116,0.5,0,0,1347.39,11.5846
10/7/20,Source_4,Campaign_10,76899,1908,0.0248,367,0.1923,18,0.049,1763.74,4.8058
10/7/20,Source_2,Campaign_2,20617,474,0.023,131,0.2764,14,0.1069,1503.96,11.4806
10/7/20,Source_3,Campaign_5,47483,405,0.0085,95,0.2346,12,0.1263,1506.8,15.8611
10/7/20,Source_3,Campaign_7,42872,320,0.0075,115,0.3594,24,0.2087,2501.94,21.756
10/7/20,Source_1,Campaign_8,87466,9730,0.1112,359,0.0369,17,0.0474,1428.63,3.9795
10/7/20,Source_1,Campaign_9,79,6,0.0759,6,1,0,0,29.12,4.8533
10/7/20,App Referral,Organic,,,,5,,0,0,,
10/7/20,Website Download,Organic,,5,,0,0,0,,,
10/7/20,Cross Promotion,Organic,,,,51,,11,0.2222,,
10/7/20,Organic,Organic,,,,210,,15,0.0714,,
10/8/20,Source_2,Campaign_1,655,41,0.0626,99,0.4146,1,0.0588,1256.47,12.6441
10/8/20,Source_4,Campaign_10,71922,1844,0.0256,323,0.1752,8,0.0248,1972.31,6.1062
10/8/20,Source_2,Campaign_2,13334,384,0.0288,98,0.2552,3,0.0306,1448.75,14.7832
10/8/20,Source_3,Campaign_5,48294,373,0.0077,117,0.3137,18,0.1538,1501.66,12.8347
10/8/20,Source_3,Campaign_7,43913,266,0.0061,109,0.4098,20,0.1835,2535.71,23.2634
10/8/20,Source_1,Campaign_8,87353,9839,0.1126,282,0.0287,11,0.039,1305.03,4.6278
10/8/20,Source_1,Campaign_9,5,9,1.8,4,0.4444,0,0,34.22,8.555
10/8/20,App Referral,Organic,,,,3,,0,0,,
10/8/20,Cross Promotion,Organic,,,,53,,0,0,,
10/8/20,Website Download,Organic,,4,,0,0,0,,,
10/8/20,Cross Promotion,Organic,,,,53,,23,0.4286,,
10/8/20,Organic,Organic,,,,213,,17,0.0798,,
10/8/20,Cross Promotion,Organic,,,,61,,0,0,,
10/9/20,Source_2,Campaign_1,758,53,0.0699,92,0.3962,1,0.0476,1367.69,14.8357
10/9/20,Source_4,Campaign_10,51519,1576,0.0306,297,0.1885,15,0.0505,1882.56,6.3386
10/9/20,Source_2,Campaign_2,4904,278,0.0567,96,0.3453,7,0.0729,985.49,10.2655
10/9/20,Source_3,Campaign_5,52047,281,0.0054,99,0.3523,9,0.0909,1486.47,15.0148
10/9/20,Source_3,Campaign_7,44643,240,0.0054,83,0.3458,18,0.2169,2512.73,30.2739
10/9/20,Source_1,Campaign_8,88408,11399,0.1289,310,0.0272,11,0.0355,1383.7,4.4635
10/9/20,Source_1,Campaign_9,9,6,0.6667,4,0.6667,0,0,13.45,3.3625
10/9/20,App Referral,Organic,,,,14,,0,0,,
10/9/20,Cross Promotion,Organic,,,,61,,61,1,,
10/9/20,Website Download,Organic,,2,,0,0,0,,,
10/9/20,Cross Promotion,Organic,,,,48,,12,0.25,,
10/9/20,Organic,Organic,,,,209,,14,0.067,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
