"","Player.Name","Player.ID","Salary","PTS","REB","AST","BLK","WAR","PER","WS","WS.48","BPM","VORP","eFG","OR.","TO.","FTr","Usage","Rookie.Scale.","Max","Age","Under.27","X27.33","Over.33","salary_pred","salary_diff"
"388","Anthony Tolliver","tollian01",2419852,152,126,33,11,-0.6,6.8,0.3,0,-3.8,-0.3,0.474,4.3,15.3,0.2,11.4,0,0,34,0,0,1,7477666.75835854,-0.104385300480029
"389","Karl-Anthony Towns","townska01",27250000,926,378,153,42,5.7,26.5,5.1,0.2,7.8,2.9,0.6,8.1,13.2,0.4,28.8,0,1,24,1,0,0,22805241.0766152,0.363666043142559
"390","Gary Trent","trentga02",1416852,383,85,48,12,1.4,12.1,1.6,0.1,-0.8,0.3,0.537,2,4.9,0.1,15.4,1,0,21,1,0,0,4436808.07918995,0.243233664112755
"391","Allonzo Trier","trieral01",3551100,150,28,25,4,-0.6,14.3,0.5,0.1,-0.8,0.1,0.571,2.1,15,0.4,21.4,1,0,24,1,0,0,8645844.57932671,-0.154174705648458
"392","P.J. Tucker","tuckepj01",8349039,443,418,97,29,3.3,8.8,3.9,0.1,-1.4,0.3,0.56,4.8,14.6,0.1,8.6,0,0,34,0,0,1,10838949.8248368,0.0526018329936342
"393","Evan Turner","turneev01",18606557,62,38,38,8,-0.3,6.8,-0.3,-0.1,-5.6,-0.2,0.373,3.4,26.2,0.2,16.4,0,0,31,0,1,0,12755083.3492266,0.9142885087904
"394","Myles Turner","turnemy01",18000000,604,331,59,109,0.8,14.4,3.3,0.1,0,0.8,0.525,4.8,10.5,0.3,17.5,0,0,23,1,0,0,12165659.5964232,0.935394765010907
"395","Jonas Valančiūnas","valanjo01",16000000,854,652,106,65,3.1,21.8,5.6,0.2,1.9,1.5,0.608,12.5,12.8,0.3,21.4,0,0,27,1,0,0,18849448.1571326,-0.300752178769635
"396","Denzel Valentine","valende01",3377569,209,66,36,6,1.2,13.1,0.4,0.1,-0.3,0.2,0.506,1.9,9.8,0,23.3,1,0,26,1,0,0,11150159.3989845,-0.552686310165819
"397","Jarred Vanderbilt","vandeja01",1416852,12,9,2,1,-0.2,7.6,0,0,-5.9,0,0.625,7.3,44.1,0.3,14.9,1,0,20,1,0,0,7217441.35489064,-0.177615012257263
"398","Fred VanVleet","vanvlfr01",9000000,845,180,317,13,4.5,16,4.9,0.1,2.4,1.9,0.503,1.1,12.4,0.2,22,1,0,25,1,0,0,17596289.2697147,-0.897032495059105
"399","Noah Vonleh","vonleno01",2000000,127,122,27,6,0.1,15.6,1,0.1,-0.8,0.1,0.579,10.4,17,0.3,14,0,0,24,1,0,0,3325976.4147628,0.476832646240016
"400","Nikola Vučević","vucevni01",28000000,989,556,188,46,3.3,21.5,5,0.1,4,2.5,0.515,7.6,7.3,0.2,25.8,0,1,29,0,1,0,24954907.5277635,0.122522639684862
"401","Moritz Wagner","wagnemo01",2063520,328,181,46,17,1.3,16.6,1.5,0.1,-1.7,0.1,0.625,7.6,17.2,0.4,18.8,1,0,22,1,0,0,6799535.73368539,-0.0417584473473552
"402","Dion Waiters","waitedi01",12100000,28,11,3,2,0,13.6,0,0,1.8,0,0.538,0,10.2,0,30.9,0,0,28,0,1,0,14576303.3258914,-0.0918960790348194
"403","Kemba Walker","walkeke02",32742000,1022,192,233,25,5.9,21,5.5,0.2,5.2,2.8,0.52,2.2,10.3,0.3,27.8,0,1,29,0,1,0,23103665.7098005,0.935130141516564
"404","Lonnie Walker","walkelo01",2760480,297,114,44,13,0.3,11.2,0.5,0,-3,-0.2,0.489,2.8,9.6,0.2,18.2,1,0,21,1,0,0,6787908.32152303,0.0382546194563238
"405","Derrick Walton","waltode01",1445697,53,16,27,0,0.1,8.7,0.6,0.1,-1.2,0.1,0.59,0.9,10.4,0.2,8.1,1,0,24,1,0,0,319255.936035019,0.869663587620811
"406","Brad Wanamaker","wanambr01",1445697,397,120,155,11,0.6,11.9,2.6,0.1,-1.4,0.2,0.48,1.7,15.9,0.4,15.4,1,0,30,0,1,0,10849090.6371438,-0.724026250979012
"407","T.J. Warren","warretj01",10810000,1102,229,86,26,3.3,17.3,5.2,0.1,0.3,1.1,0.569,3.4,7.5,0.2,22.8,0,0,26,1,0,0,13870273.1383876,-0.12987704331902
"408","P.J. Washington","washipj01",3831840,669,302,118,42,0,12.3,1.8,0.1,-1.7,0.1,0.528,3.5,12.5,0.2,18.6,1,0,21,1,0,0,10834817.4138708,-0.453954691206229
"409","Russell Westbrook","westbru01",38178000,1405,412,359,17,1.9,21.6,4.3,0.1,1.9,1.8,0.495,5.1,14.9,0.3,34.4,0,1,31,0,1,0,28870430.9766873,0.672673652417657
"410","Coby White","whiteco01",5307120,792,217,156,6,-0.3,11.8,0.8,0,-2.8,-0.3,0.478,1.8,11.4,0.2,24.4,1,0,19,1,0,0,12197931.4490333,-0.494620463580574
"411","Derrick White","whitede01",1948080,583,184,192,48,3.2,15.4,3.1,0.1,0.7,0.9,0.52,2.2,12.2,0.4,18.2,1,0,25,1,0,0,12236004.1423606,-0.877528978448728
"412","Hassan Whiteside","whiteha01",27093018,935,824,72,178,5.1,25,7.8,0.2,3.3,2.4,0.621,13.4,13.1,0.3,19.8,0,1,30,0,1,0,23648960.6145371,0.218343521284642
"413","Andrew Wiggins","wiggian01",27504630,1144,268,191,51,0.8,16.6,2,0.1,-0.1,0.8,0.504,3.6,10.7,0.3,27.4,0,1,24,1,0,0,17554683.414063,1.18692696576342
"414","Grant Williams","willigr01",2379840,215,160,61,32,1.1,8.4,1.5,0.1,-2.6,-0.1,0.471,6.5,17.7,0.3,11.5,1,0,21,1,0,0,4965147.78053605,0.271391826882765
"415","Kenrich Williams","willike04",1416852,132,178,53,21,1.2,7.7,0.8,0,-2.3,0,0.43,6.6,12,0.2,9.2,1,0,25,1,0,0,4711195.23144935,0.201705185384395
"416","Lou Williams","willilo02",8000000,1112,181,341,10,1.5,17.4,4,0.1,0.8,1.2,0.476,1.7,14.4,0.4,28.3,0,0,33,0,0,1,22010797.3156735,-1.67744599483278
"417","Marvin Williams","willima02",15006250,309,139,52,25,0.2,11.5,1.9,0.1,-0.9,0.3,0.546,2.1,9.3,0.2,13,0,0,33,0,0,1,8083034.82124325,1.21716758234206
"418","Nigel Williams-Goss","willini01",1500000,4,5,5,1,0.1,5.7,0,0,-3.9,0,0.143,8.2,20.2,0.3,15.5,1,0,25,1,0,0,11356898.4242135,-0.794785897550963
"419","Robert Williams","williro04",1937520,90,95,21,24,0.4,19.4,1.2,0.2,4,0.4,0.677,11.4,21.5,0.4,12.3,1,0,22,1,0,0,1099072.87837377,0.806859232412179
"420","Zion Williamson","willizi01",9757440,408,116,38,6,1,24.8,1.6,0.2,2.1,0.5,0.599,10.2,12.4,0.5,29.6,1,0,19,1,0,0,10030956.1944145,0.333024034334817
"421","D.J. Wilson","wilsodj01",2961120,90,59,21,5,-0.8,8.2,0.3,0.1,-3.6,-0.1,0.465,3.8,12.5,0.1,17.7,1,0,23,1,0,0,7021503.74029729,0.0254274203557477
"422","Justise Winslow","winslju01",13000000,124,73,44,5,0.5,8.6,0,0,-3.5,-0.1,0.411,5.3,14.6,0.2,20.7,0,0,23,1,0,0,9731481.3840579,0.742417604909559
"423","Christian Wood","woodch01",1645357,726,364,54,52,4.2,22.7,4.7,0.2,2.9,1.5,0.62,8.8,12,0.5,23,0,0,24,1,0,0,14881352.6950112,-1.31189144621056
"424","Delon Wright","wrighde01",9473684,439,235,206,19,2.3,15.8,3.9,0.1,2,1.3,0.529,5,13.9,0.2,14.8,0,0,27,1,0,0,11986794.9949863,0.00514840180365386
"425","Thaddeus Young","youngth01",12900000,628,299,111,22,0.6,13.3,1.8,0.1,-1.2,0.3,0.513,6.2,13.9,0.1,19.7,0,0,31,0,1,0,14036918.9519386,0.0795620944133384
"426","Trae Young","youngtr01",6273000,1689,244,529,8,6.9,24.1,5.7,0.1,4.2,3.1,0.519,1.6,16.2,0.4,34.9,1,0,21,1,0,0,28167438.31699,-2.80315730005416
"427","Cody Zeller","zelleco01",14471910,605,388,82,24,0.5,18.4,3.3,0.1,-1,0.3,0.543,12.6,11.9,0.4,20.8,0,0,27,1,0,0,11612002.5814432,0.623063913366668
"428","Ante Žižić","zizican01",2281800,96,66,6,5,0.2,17,0.5,0.1,-3,-0.1,0.569,9,11.1,0.3,17.5,1,0,23,1,0,0,2803876.48608026,0.587492372395089
"429","Ivica Zubac","zubaciv01",6481482,502,442,68,58,3.4,21,5.4,0.2,2.5,1.3,0.601,15.2,11.8,0.4,16.2,1,0,22,1,0,0,9279469.97072959,0.0789434921766567
